2026-02-24 13:24:02.725 | INFO     | __main__:on_message:102 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000014E8FBC3190>, None, <paho.mqtt.client.MQTTMessage object at 0x0000014E8FC0C2E0>, SP008/lightup, b'1'
2026-02-24 13:24:06.277 | INFO     | __main__:on_message:102 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000014E8FBC3190>, None, <paho.mqtt.client.MQTTMessage object at 0x0000014E8FC0C2E0>, SP008/lightup, b'0'
2026-02-24 13:24:09.269 | INFO     | __main__:on_message:102 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000014E8FBC3190>, None, <paho.mqtt.client.MQTTMessage object at 0x0000014E8FC0C2E0>, SP008/lightup, b'5'
2026-02-24 13:24:09.269 | INFO     | __main__:handle_light_up_message:92 - Неизвестное значение в сообщении lightup
2026-02-24 13:24:16.881 | INFO     | __main__:main:160 - Получен сигнал остановки
2026-02-24 13:24:53.088 | INFO     | __main__:main:157 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:24:53.148 | INFO     | __main__:on_message:103 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000023F7C8E31F0>, None, <paho.mqtt.client.MQTTMessage object at 0x0000023F7C92C270>, SP008/connected, b'1'
2026-02-24 13:25:13.470 | INFO     | __main__:on_message:103 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000023F7C8E31F0>, None, <paho.mqtt.client.MQTTMessage object at 0x0000023F7C92C270>, SP008/lightup, b'1'
2026-02-24 13:25:18.678 | INFO     | __main__:on_message:103 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000023F7C8E31F0>, None, <paho.mqtt.client.MQTTMessage object at 0x0000023F7C92C270>, SP008/lightup, b'0'
2026-02-24 13:25:21.630 | INFO     | __main__:on_message:103 - Пришло сообщение: <paho.mqtt.client.Client object at 0x0000023F7C8E31F0>, None, <paho.mqtt.client.MQTTMessage object at 0x0000023F7C92C270>, SP008/lightup, b'5'
2026-02-24 13:25:21.630 | INFO     | __main__:handle_light_up_message:92 - Неизвестное значение в сообщении lightup
2026-02-24 13:27:09.197 | INFO     | __main__:main:161 - Получен сигнал остановки
2026-02-24 13:27:10.203 | INFO     | __main__:main:159 - Устройство запущено. Ожидание сообщений...
2026-02-24 13:27:10.263 | INFO     | __main__:on_message:105 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000268EE8A7280>, None, <paho.mqtt.client.MQTTMessage object at 0x00000268EE8EC350>, SP008/connected, b'1'
2026-02-24 13:27:59.775 | INFO     | __main__:on_message:105 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000268EE8A7280>, None, <paho.mqtt.client.MQTTMessage object at 0x00000268EE8EC350>, SP008/lightup, b'1'
2026-02-24 13:28:05.671 | INFO     | __main__:on_message:105 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000268EE8A7280>, None, <paho.mqtt.client.MQTTMessage object at 0x00000268EE8EC350>, SP008/open, b'1'
2026-02-24 13:28:17.959 | INFO     | __main__:on_message:105 - Пришло сообщение: <paho.mqtt.client.Client object at 0x00000268EE8A7280>, None, <paho.mqtt.client.MQTTMessage object at 0x00000268EE8EC350>, SP008/echo, b'1'
